feature	ref_CI	permuted_CI	algo	model
134	IDH2_p.R172	0.603671568528972	0.603671568528972	Lasso	all_gen
135	IDH2_p.R172	0.603671568528972	0.603671568528972	Lasso	all_gen
136	IDH2_p.R172	0.603671568528972	0.603671568528972	Lasso	all_gen
137	JAK2	0.603671568528972	0.603671568528972	Lasso	all_gen
138	JAK2	0.603671568528972	0.603671568528972	Lasso	all_gen
139	JAK2	0.603671568528972	0.603671568528972	Lasso	all_gen
140	JAK2	0.603671568528972	0.603671568528972	Lasso	all_gen
141	JAK3	0.603671568528972	0.603671568528972	Lasso	all_gen
142	JAK3	0.603671568528972	0.603671568528972	Lasso	all_gen
143	JAK3	0.603671568528972	0.603671568528972	Lasso	all_gen
144	JAK3	0.603671568528972	0.603671568528972	Lasso	all_gen
145	KANSL1	0.603671568528972	0.603671568528972	Lasso	all_gen
146	KANSL1	0.603671568528972	0.603671568528972	Lasso	all_gen
147	KANSL1	0.603671568528972	0.603671568528972	Lasso	all_gen
148	KANSL1	0.603671568528972	0.603671568528972	Lasso	all_gen
149	KDM6A	0.603671568528972	0.603671568528972	Lasso	all_gen
150	KDM6A	0.603671568528972	0.603671568528972	Lasso	all_gen
151	KDM6A	0.603671568528972	0.603671568528972	Lasso	all_gen
152	KDM6A	0.603671568528972	0.603671568528972	Lasso	all_gen
153	KIT	0.603671568528972	0.602160314439919	Lasso	all_gen
154	KIT	0.603671568528972	0.59885760795882	Lasso	all_gen
155	KIT	0.603671568528972	0.600778235728121	Lasso	all_gen
156	KIT	0.603671568528972	0.599271407048675	Lasso	all_gen
157	KMT2C	0.603671568528972	0.603671568528972	Lasso	all_gen
158	KMT2C	0.603671568528972	0.603671568528972	Lasso	all_gen
159	KMT2C	0.603671568528972	0.603671568528972	Lasso	all_gen
160	KMT2C	0.603671568528972	0.603671568528972	Lasso	all_gen
161	KMT2D	0.603671568528972	0.603671568528972	Lasso	all_gen
162	KMT2D	0.603671568528972	0.603671568528972	Lasso	all_gen
163	KMT2D	0.603671568528972	0.603671568528972	Lasso	all_gen
164	KMT2D	0.603671568528972	0.603671568528972	Lasso	all_gen
165	KMT2E	0.603671568528972	0.603671568528972	Lasso	all_gen
166	KMT2E	0.603671568528972	0.603671568528972	Lasso	all_gen
167	KMT2E	0.603671568528972	0.603671568528972	Lasso	all_gen
168	KMT2E	0.603671568528972	0.603671568528972	Lasso	all_gen
169	KRAS	0.603671568528972	0.603671568528972	Lasso	all_gen
170	KRAS	0.603671568528972	0.603671568528972	Lasso	all_gen
171	KRAS	0.603671568528972	0.603671568528972	Lasso	all_gen
172	KRAS	0.603671568528972	0.603671568528972	Lasso	all_gen
173	LUC7L2	0.603671568528972	0.603671568528972	Lasso	all_gen
174	LUC7L2	0.603671568528972	0.603671568528972	Lasso	all_gen
175	LUC7L2	0.603671568528972	0.603671568528972	Lasso	all_gen
176	LUC7L2	0.603671568528972	0.603671568528972	Lasso	all_gen
177	MED12	0.603671568528972	0.603671568528972	Lasso	all_gen
178	MED12	0.603671568528972	0.603671568528972	Lasso	all_gen
179	MED12	0.603671568528972	0.603671568528972	Lasso	all_gen
180	MED12	0.603671568528972	0.603671568528972	Lasso	all_gen
181	MLL	0.603671568528972	0.603671568528972	Lasso	all_gen
182	MLL	0.603671568528972	0.603671568528972	Lasso	all_gen
183	MLL	0.603671568528972	0.603671568528972	Lasso	all_gen
184	MLL	0.603671568528972	0.603671568528972	Lasso	all_gen
185	MPL	0.603671568528972	0.603671568528972	Lasso	all_gen
186	MPL	0.603671568528972	0.603671568528972	Lasso	all_gen
187	MPL	0.603671568528972	0.603671568528972	Lasso	all_gen
188	MPL	0.603671568528972	0.603671568528972	Lasso	all_gen
189	MYC	0.603671568528972	0.603671568528972	Lasso	all_gen
190	MYC	0.603671568528972	0.603671568528972	Lasso	all_gen
191	MYC	0.603671568528972	0.603671568528972	Lasso	all_gen
192	MYC	0.603671568528972	0.603671568528972	Lasso	all_gen
193	NF1	0.603671568528972	0.603671568528972	Lasso	all_gen
194	NF1	0.603671568528972	0.603671568528972	Lasso	all_gen
195	NF1	0.603671568528972	0.603671568528972	Lasso	all_gen
196	NF1	0.603671568528972	0.603671568528972	Lasso	all_gen
197	NFE2	0.603671568528972	0.603671568528972	Lasso	all_gen
198	NFE2	0.603671568528972	0.603671568528972	Lasso	all_gen
199	NFE2	0.603671568528972	0.603671568528972	Lasso	all_gen
200	NFE2	0.603671568528972	0.603671568528972	Lasso	all_gen
201	NOTCH1	0.603671568528972	0.603671568528972	Lasso	all_gen
202	NOTCH1	0.603671568528972	0.603671568528972	Lasso	all_gen
203	NOTCH1	0.603671568528972	0.603671568528972	Lasso	all_gen
204	NOTCH1	0.603671568528972	0.603671568528972	Lasso	all_gen
205	NPM1	0.603671568528972	0.59960219477096	Lasso	all_gen
206	NPM1	0.603671568528972	0.625045644763636	Lasso	all_gen
207	NPM1	0.603671568528972	0.605927316263647	Lasso	all_gen
208	NPM1	0.603671568528972	0.613290545683545	Lasso	all_gen
209	NRAS_other	0.603671568528972	0.603671568528972	Lasso	all_gen
210	NRAS_other	0.603671568528972	0.603671568528972	Lasso	all_gen
211	NRAS_other	0.603671568528972	0.603671568528972	Lasso	all_gen
212	NRAS_other	0.603671568528972	0.603671568528972	Lasso	all_gen
213	NRAS_p.G12_13	0.603671568528972	0.603671568528972	Lasso	all_gen
214	NRAS_p.G12_13	0.603671568528972	0.603671568528972	Lasso	all_gen
215	NRAS_p.G12_13	0.603671568528972	0.603671568528972	Lasso	all_gen
216	NRAS_p.G12_13	0.603671568528972	0.603671568528972	Lasso	all_gen
217	NRAS_p.Q61_62	0.603671568528972	0.603671568528972	Lasso	all_gen
218	NRAS_p.Q61_62	0.603671568528972	0.603671568528972	Lasso	all_gen
