feature	ref_CI	permuted_CI	algo	model
74	CSF3R	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
75	CSF3R	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
76	CSF3R	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
77	CTCF	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
78	CTCF	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
79	CTCF	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
80	CTCF	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
81	CUL2	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
82	CUL2	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
83	CUL2	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
84	CUL2	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
